name,type,slug,primary_muscles,secondary_muscles,equipment,description,default_sets,default_reps,default_load_kg,default_rest_seconds,difficulty,modality,estimated_minutes,tags,contraindications,progression_rule_method,progression_rule_trigger,published
Bodyweight Squat,strength,bodyweight-squat,Quadriceps,"Glutes,Hamstrings,Core",,Stand with feet shoulder-width apart. Lower your body by bending knees and hips. Keep chest up and weight on heels. Push through heels to return to start.,3,15,,60,beginner,reps,2,"Legs,Bodyweight,Fat Loss,Beginner",Knee injuries,reps_then_load,complete_all_sets_twice,true
Jump Squat,strength,jump-squat,Quadriceps,"Glutes,Hamstrings,Calves",,Perform a bodyweight squat then explosively jump up. Land softly and immediately go into next rep. Great for fat loss and power.,3,12,,90,intermediate,reps,3,"Legs,Bodyweight,Fat Loss,Cardio,Power",Knee injuries,reps,complete_all_sets_twice,true
Push-up,strength,push-up,Chest,"Triceps,Shoulders,Core",,Start in plank position with hands shoulder-width apart. Lower body until chest nearly touches floor. Push back up. Keep core tight throughout.,3,12,,60,beginner,reps,2,"Chest,Bodyweight,Upper Body,Beginner",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Diamond Push-up,strength,diamond-push-up,Triceps,"Chest,Shoulders",,Push-up with hands close together forming diamond shape. Targets triceps more than regular push-up.,3,10,,75,intermediate,reps,2,"Triceps,Bodyweight,Upper Body",Wrist injuries,reps_then_load,complete_all_sets_twice,true
Wide Push-up,strength,wide-push-up,Chest,"Shoulders,Triceps",,Push-up with hands placed wider than shoulder-width. Emphasizes chest muscles.,3,12,,60,beginner,reps,2,"Chest,Bodyweight,Upper Body",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Pike Push-up,strength,pike-push-up,Shoulders,"Triceps,Upper Chest",,Start in downward dog position. Bend elbows to lower head toward floor. Push back up. Great shoulder builder.,3,10,,75,intermediate,reps,2,"Shoulders,Bodyweight,Upper Body",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Incline Push-up,strength,incline-push-up,Chest,"Triceps,Shoulders",Box,Push-up with hands elevated on bench or box. Easier variation for beginners.,3,15,,60,beginner,reps,2,"Chest,Bodyweight,Beginner,Upper Body",,reps_then_load,complete_all_sets_twice,true
Decline Push-up,strength,decline-push-up,Upper Chest,"Shoulders,Triceps",Box,Push-up with feet elevated on bench or box. More challenging variation.,3,10,,75,intermediate,reps,3,"Chest,Bodyweight,Upper Body",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Burpee,cardio,burpee,Full Body,"Chest,Legs,Core",,Stand then drop into squat. Kick feet back to plank. Do push-up. Jump feet to hands. Jump up with arms overhead. Ultimate fat loss exercise.,3,10,,90,intermediate,reps,4,"Cardio,Fat Loss,Full Body,HIIT",,reps,complete_all_sets_twice,true
Mountain Climbers,cardio,mountain-climbers,Core,"Hip Flexors,Shoulders",,Start in plank position. Alternate bringing knees to chest rapidly. Keep hips low. Excellent for fat loss.,3,20,,45,beginner,reps,3,"Core,Cardio,Fat Loss,HIIT",,reps,complete_all_sets_twice,true
